Nodes,size_SCC,size_WCC,mean_dist,diameter,clustering_global,degree_assortativity,density,Normal,Week
1851,1606,1851,177.12110225447674,8943.311786440605,0.2849825607972706,0.09056872727024666,0.02146713974914947,totalVisits,2020-12-14
1851,1606,1851,0.010048775697017048,0.1278208237402343,0.2849825607972706,0.09056872727024666,0.02146713974914947,weight_inv,2020-12-14
1851,1606,1851,0.003247480061421728,0.18210575463607803,0.2849825607972706,0.09056872727024666,0.02146713974914947,weight_range,2020-12-14
1851,1606,1851,5.1390229525564385e-6,2.5948282817434e-4,0.2849825607972706,0.09056872727024666,0.02146713974914947,weight_sum,2020-12-14
1851,1606,1851,0.0036163017025269873,0.1825966145641582,0.2849825607972706,0.09056872727024666,0.02146713974914947,weight_max,2020-12-14
1849,1624,1849,170.87431465098305,5062.573339335591,0.26083205199949866,0.07718148467706389,0.021396261931686485,totalVisits,2020-12-21
1849,1624,1849,0.010969078175361493,0.10843867072839175,0.26083205199949866,0.07718148467706389,0.021396261931686485,weight_inv,2020-12-21
1849,1624,1849,0.002791087794847835,0.09271463619884912,0.26083205199949866,0.07718148467706389,0.021396261931686485,weight_range,2020-12-21
1849,1624,1849,5.644658075587842e-6,1.6723692815601154e-4,0.26083205199949866,0.07718148467706389,0.021396261931686485,weight_sum,2020-12-21
1849,1624,1849,0.003143084643577192,0.09312164061845585,0.26083205199949866,0.07718148467706389,0.021396261931686485,weight_max,2020-12-21
1847,1587,1847,166.05651234101188,2528.572796407146,0.25934585961880585,0.07088780659045778,0.021931849310849898,totalVisits,2020-12-28
1847,1587,1847,0.010802688526823827,0.1377396199682488,0.25934585961880585,0.07088780659045778,0.021931849310849898,weight_inv,2020-12-28
1847,1587,1847,0.002724987455313772,0.04778414022969901,0.25934585961880585,0.07088780659045778,0.021931849310849898,weight_range,2020-12-28
1847,1587,1847,5.494845210039377e-6,8.367101008377453e-5,0.25934585961880585,0.07088780659045778,0.021931849310849898,weight_sum,2020-12-28
1847,1587,1847,0.003165252782782964,0.04819788135655756,0.25934585961880585,0.07088780659045778,0.021931849310849898,weight_max,2020-12-28
1850,1620,1850,190.04732993129028,2236.0783448246452,0.29609567326795183,0.11203504226362035,0.019974273895312297,totalVisits,2021-01-04
1850,1620,1850,0.010820728003585413,0.11780227530775633,0.29609567326795183,0.11203504226362035,0.019974273895312297,weight_inv,2021-01-04
1850,1620,1850,0.0037385317137299087,0.048880456466888544,0.29609567326795183,0.11203504226362035,0.019974273895312297,weight_range,2021-01-04
1850,1620,1850,5.83239723999478e-6,6.86234169746669e-5,0.29609567326795183,0.11203504226362035,0.019974273895312297,weight_sum,2021-01-04
1850,1620,1850,0.004215972523493638,0.04960472144264694,0.29609567326795183,0.11203504226362035,0.019974273895312297,weight_max,2021-01-04
1851,1598,1851,178.49093776600003,7046.065283644151,0.27660598855351937,0.10136749210230185,0.021003402105509075,totalVisits,2021-01-11
1851,1598,1851,0.010399146099099556,0.18636568199259074,0.27660598855351937,0.10136749210230185,0.021003402105509075,weight_inv,2021-01-11
1851,1598,1851,0.003634486113703062,0.16683143014543655,0.27660598855351937,0.10136749210230185,0.021003402105509075,weight_range,2021-01-11
1851,1598,1851,5.4201183344617945e-6,2.139632863595864e-4,0.27660598855351937,0.10136749210230185,0.021003402105509075,weight_sum,2021-01-11
1851,1598,1851,0.004256364098825563,0.16802320435224916,0.27660598855351937,0.10136749210230185,0.021003402105509075,weight_max,2021-01-11
1848,1616,1848,200.9680718307204,3660.453397524381,0.28716472085262235,0.09920705756029384,0.020091373163923246,totalVisits,2021-01-18
1848,1616,1848,0.009921811067085375,0.1875737127074888,0.28716472085262235,0.09920705756029384,0.020091373163923246,weight_inv,2021-01-18
1848,1616,1848,0.004210412046827235,0.08551633680182658,0.28716472085262235,0.09920705756029384,0.020091373163923246,weight_range,2021-01-18
